name,moneyMin,moneyMax,age,sex,season,topic1,topic2,topic3,topic4,topic5
おしゃれメガネ,15000,20000,4,2,2,1,0,0,0,0
おしゃれメガネ,15000,20000,2,1,1,1,0,0,0,0
スナック菓子,300,1000,1,2,3,0,0,1,0,0
車,1000000,10000000,0,1,2,1,1,0,1,0
湯たんぽ,1000,2000,5,1,4,0,1,0,0,0
手持ち扇風機,200,5000,2,1,1,0,1,0,1,0
カップ麺,100,300,1,0,3,0,1,1,0,0
コスプレ衣装,500,5000,1,2,3,1,1,0,0,1
香水,5000,10000,2,1,0,1,1,0,0,0
香水,10000,30000,4,1,0,1,1,0,0,0
ピアス,100,10000,1,1,0,1,1,0,0,0
ピアス,10000,30000,2,0,0,1,1,0,0,0
大福,500,1000,5,2,3,0,1,1,0,0
羊羹,100,300,4,2,3,0,1,1,0,0
お米券,3000,5000,2,1,3,0,1,1,0,0
スマートバンド,4000,20000,0,1,1,0,1,0,0,0
キーボード,2000,20000,0,0,3,0,1,0,0,0
マウス,500,10000,1,0,3,0,1,0,0,0
フィギュア,3000,30000,0,0,0,0,0,0,0,1
ネクタイ,5000,30000,4,0,0,1,0,0,0,0
ネクタイ,5000,30000,3,0,1,1,0,0,0,0
ネクタイ,5000,30000,5,0,2,1,0,0,0,0
ネクタイ,5000,30000,2,0,3,1,0,0,0,0
腕時計,50000,150000,4,0,3,1,1,0,0,0
腕時計,50000,150000,2,0,1,1,1,0,0,0
腕時計,50000,150000,3,0,2,1,1,0,0,0
スキンケアセット,2000,12000,1,1,3,1,0,0,0,0
化粧品・コスメセット,2000,120000,1,1,0,1,0,0,0,0 
ホットコーヒー,300,2000,1,0,3,0,0,1,0,0
ホットコーヒー,300,2000,1,1,3,0,0,1,0,0
ホットコーヒー,300,2000,1,2,3,0,0,1,0,0
ホットコーヒー,300,2000,4,1,3,0,0,1,0,0
ホットコーヒー,300,2000,5,2,3,0,0,1,0,0
宇宙食,300,3000,0,0,0,0,0,1,0,1
ゴルフクラブ,4000,3000000,2,0,0,0,0,0,1,0
野球グローブ,4000,170000,1,0,0,0,0,0,1,0
野球グローブ,4000,170000,0,0,0,0,0,0,1,0
テニスラケット,6000,230000,0,1,0,0,0,0,1,0
テニスラケット,6000,230000,1,0,0,0,0,0,1,0
プロテインシェイカー,500,6000,2,0,2,0,0,0,1,0
プロテインシェイカー,500,6000,3,0,1,0,0,0,1,0
プロテインバー,100,600,2,0,2,0,0,1,1,0
プロテインバー,100,600,3,0,2,0,0,1,1,0
ステッカー,50,500,0,1,3,0,0,0,0,1
